company_fyi,ticker,period,announcement_date,listing_region,industry,ai_mentioned,layoff_count,layoff_pct,CAR_1_1,CAR_0_1,CAR_0_5,CAR_0_20,CAR_5_60,alpha_ff4,beta_mkt_ff4,r2_ff4,n_est_obs
Shopify,SHOP,post_genai,2023-05-04,US,Retail,0,2300.0,20%,0.27209119595976394,0.2903244205966942,0.31555675665767247,0.10009853111725026,0.07115294093722638,0.0009090195729279493,1.3598782954762045,0.6569085511724919,250
Shopify,SHOP,post_genai,2025-11-26,US,Retail,0,,,-0.0321913623968132,-0.01710575373694145,-0.005441478020954779,0.01034864903994705,-0.3821170451191307,0.002234406445929036,1.7788935184876906,0.5170041612722898,250
Sinch,SINCH.ST,pre_genai,2022-10-12,INTL,Other,0,150.0,,0.1222775442824352,0.07913505806899163,0.23479867094983747,1.197634135634029,1.6404653181694222,-0.006729209171387247,0.42814549945993335,0.12357079942357496,243
SiriusXM,SIRI,post_genai,2023-03-06,US,Media,0,475.0,8%,-0.053824868325920296,-0.033458729753607946,-0.11669588308967487,-0.0553602015029502,-0.16105465907939231,-0.0007628274665782914,0.5846334894323508,0.40212967436407354,250
SiriusXM,SIRI,post_genai,2024-02-12,US,Media,0,160.0,3%,-0.027537695079341704,-0.005155483036822228,-0.024305612443157446,-0.19164746003052674,-0.47793041385109497,-0.0014605507895818005,1.3230394471306002,0.17771981313930874,250
Skillz,SKLZ,pre_genai,2022-05-20,US,Consumer,0,70.0,10%,-0.009355355964084384,-0.08529843045840255,-0.05071761147062457,-0.12433193899184485,-0.02189626298087262,-0.004440768756110349,1.8920894304470748,0.4924255937296752,250
NuScale Power,SMR,post_genai,2024-01-08,US,Energy,0,154.0,28%,-0.1167460266508008,-0.04313510726582523,-0.0892372403349126,0.3028074099891136,1.3964869342821744,-0.0033993775791857886,0.9112633505093468,0.27808235923010394,250
Similarweb,SMWB,pre_genai,2022-11-16,US,Other,0,120.0,10%,-0.12554546436108768,-0.21125374901370322,-0.27190484796591846,0.0028294426147253346,0.316148812487198,-0.001741320164670197,0.9132964656613396,0.4234242724426178,250
Snap,SNAP,pre_genai,2022-08-31,US,Consumer,0,1280.0,20%,0.1683456742249454,0.179142572505247,0.22743473245665563,0.31145307472725153,0.5528417035017634,-0.004226394055314072,1.646832847159582,0.519056652386413,250
Snap,SNAP,post_genai,2023-09-27,US,Consumer,0,170.0,,0.02214793275232159,0.028850997808621548,0.06010651659518111,0.1580969354537144,0.6203421740737192,-0.00025020221301558644,1.3769986836450145,0.3363967176779513,250
