company_fyi,ticker,announcement_date,ai_tier,ai_causal,ai_primary,ai_broad,ai_desktop,fetch_success,evidence,source_url
Cellebrite,CLBT,2025-12-03,1,0,0,1,0,1,[SPECIFIC] ...te alums raise $8.5M in Seed funding to guard against rogue AI agents Cellebrite acquires Corellium in $170M deal to push...,https://www.calcalistech.com/ctechnews/article/izmghyvm1
Cimpress,CMPR,2023-03-23,0,0,0,0,0,0,,https://www.marketwatch.com/story/cimpress-plans-to-cut-about-500-jobs-768d3efc
Capital One,COF,2023-01-19,0,0,0,0,0,0,,https://www.reuters.com/technology/capital-one-scraps-1100-tech-positions-source-2023-01-19/
Coherent,COHR,2023-03-16,0,0,0,0,0,1,,https://www.siliconvalley.com/2023/03/16/coherent-fremont-job-cut-tech-layoff-google-facebook-twitter-economy/
Coinbase,COIN,2022-06-14,0,0,0,0,0,1,,https://www.cnbc.com/2022/06/14/coinbase-lays-off-18percent-as-execs-prepare-for-recession-crypto-winter.html
Compass,COMP,2022-06-14,0,0,0,0,0,0,,https://www.bloomberg.com/news/articles/2022-06-14/compass-to-cut-about-10-of-workforce-amid-us-housing-slowdown#xj4y7vzkg
Coursera,COUR,2022-11-09,0,0,0,0,0,1,,https://blog.coursera.org/changes-to-the-coursera-team/
Coursera,COUR,2024-10-25,0,0,0,0,0,0,,https://www.classcentral.com/report/cousera-layoffs-2024/
Freightos,CRGO,2023-07-12,0,0,0,0,0,1,,https://sourcingjournal.com/topics/logistics/freightos-layoffs-13-percent-persistently-weak-freight-market-job-cuts-costs-445086/
Salesforce,CRM,2020-08-26,0,0,0,0,0,0,,https://www.bloomberg.com/news/articles/2020-08-26/salesforce-cuts-1-000-jobs-after-banner-quarter-stock-surge
Salesforce,CRM,2022-10-13,0,0,0,0,0,0,,https://www.protocol.com/bulletins/salesforce-layoffs-hiring-freeze
Salesforce,CRM,2023-08-02,0,0,0,0,0,0,,https://www.bloomberg.com/news/articles/2023-08-02/salesforce-cuts-more-jobs-after-10-reduction-earlier-this-year?in_source=embedded-checkout-banner#xj4y7vzkg
