alpha_ff4,beta_mkt_ff4,r2_ff4,n_est_obs,CAR_1_1,CAR_0_5,CAR_0_20,CAR_5_60,CAR_5_30,event_id,ticker,company_fyi,announcement_date,ai_mentioned,post_chatgpt,period,listing_region,industry,layoff_count,layoff_pct
-0.0015548175970635954,1.4060074349246565,0.38139699056141285,250,0.095804464765626,0.16387277493771124,0.12990540989296273,0.39407750241080036,0.39407750241080036,BYND_2023-11-02,BYND,Beyond Meat,2023-11-02,1,1,post_genai,US,Food,65.0,8%
-0.0014022503444794045,1.1528953692163424,0.44787267599082503,250,-0.07800594119973468,0.027141414415957226,0.14393862395745194,0.25789472508501565,0.25789472508501565,CARG_2020-04-16,CARG,CarGurus,2020-04-16,0,0,pre_genai,US,Transportation,130.0,13%
-0.0050197517880374585,1.826665885689225,0.5628866876711163,250,0.04153338696624827,-0.19142222784911397,0.18559278168647228,0.4920711786945044,0.4920711786945044,CDLX_2022-11-14,CDLX,Cardlytics,2022-11-14,0,0,pre_genai,US,Marketing,51.0,
-0.0022247455763782413,1.0191986702814646,0.4703677738941623,250,-0.008576123546928181,0.09181085681452195,-0.0027302070536253317,0.2068875898760285,0.2068875898760285,CDXS_2022-11-29,CDXS,Codexis,2022-11-29,0,0,pre_genai,US,Healthcare,,18%
-0.0007875986386255539,1.6869250927082815,0.6677730868490886,250,-0.04224942657013487,-0.04017571404476872,0.0755287182231078,0.060609125235907876,0.060609125235907876,CFLT_2023-01-26,CFLT,Confluent,2023-01-26,0,1,post_genai,US,Data,221.0,8%
-0.004056687389416284,0.9213526304327103,0.10612581928418552,250,0.08449769933595563,0.004303762109949691,-0.011224221318567512,-0.10209229204391275,-0.10209229204391275,CFRXQ_2022-08-15,CFRXQ,ContraFect,2022-08-15,0,0,pre_genai,US,Healthcare,16.0,37%
-0.0010916595062057757,0.82345244634356,0.1587882100410577,250,0.021194159722491265,-0.07045949417048625,-0.11073767679841669,-0.015278194547327553,-0.015278194547327553,CHGG_2023-06-12,CHGG,Chegg,2023-06-12,0,1,post_genai,US,Education,80.0,4%
-0.0037310339344851073,1.3096133353511505,0.15814772439351288,250,-0.09458666648958182,0.08459122947023703,0.2291438618435267,0.0005615463419418321,0.0005615463419418321,CHGG_2024-06-17,CHGG,Chegg,2024-06-17,0,1,post_genai,US,Education,441.0,23%
-0.006657398210294452,0.9188611170048533,0.1858466034622459,250,0.05769297136469985,0.27386703595822454,0.9475284906401129,0.8043403399866125,0.8043403399866125,CHGG_2025-05-12,CHGG,Chegg,2025-05-12,1,1,post_genai,US,Education,248.0,22%
-0.0026608286204820005,1.5377616253723003,0.41008019640878435,250,-0.005502707635991366,0.019257547864894642,-0.048594147980944226,0.08519666117858075,0.08519666117858075,CHWY_2023-11-14,CHWY,Chewy,2023-11-14,0,1,post_genai,US,Retail,200.0,
-0.0005160468649562388,0.5571693911974501,0.01953437383204948,250,0.07483472649969387,0.03628020076301829,0.20683464434543342,0.33656078463528205,0.33656078463528205,CINT_2024-07-01,CINT,Cint,2024-07-01,0,1,post_genai,US,Data,,
0.00023623314775700083,0.6381472652040849,0.1351234069331705,250,0.04775920877816013,0.01713923949372271,-0.004385972571935235,-0.055403989889190715,-0.055403989889190715,CLBT_2025-12-03,CLBT,Cellebrite,2025-12-03,0,1,post_genai,US,Other,20.0,1%
