company_fyi,ticker,announcement_date,ai_causal,ai_primary,ai_broad,post_chatgpt,CAR_1_1,CAR_0_20,CAR_5_30
IBM,IBM,2023-01-25,0,0,0,1,-6.73029427003876,-7.683349802470819,-12.809340638906841
IBM,IBM,2024-03-12,1,1,1,1,-0.26580429629439,-6.21732969051025,-10.14879962663864
Infineon,IFX.DE,2024-08-05,0,0,0,1,-0.85142818814924,7.41670443342332,-3.37162515806222
Illumina,ILMN,2022-11-14,0,0,0,0,-3.6132899986610996,-12.14461783661321,-11.64265653366435
Illumina,ILMN,2023-06-21,0,0,0,1,-1.07529208297334,-8.91066210342548,-10.53092591902282
Intel,INTC,2022-12-06,0,0,1,1,1.10310618264494,1.72186417809994,4.40007091178565
Intel,INTC,2023-08-17,0,1,1,1,-3.87754474337079,11.28542280676904,10.43145408818453
Intel,INTC,2025-02-04,0,0,0,1,2.58502104601172,22.99746246494705,49.44695338862387
Intuit,INTU,2020-06-22,0,0,0,0,0.6025511294366199,-4.5383838198237,-5.28067556270418
Intuit,INTU,2024-07-10,0,0,0,1,-4.48691480114307,4.54713790043235,-1.61674294001603
Innoviz,INVZ,2024-01-31,0,0,1,1,1.9599597765620098,4.45313473029908,-21.07964141564247
Innoviz,INVZ,2025-02-04,0,0,0,1,-5.22171817212432,-44.484537323157355,-48.81887068243653
Century Therapeutics,IPSC,2023-01-09,0,0,0,1,-7.85644397143989,-13.677468618956121,-10.22282006286873
iSpecimen,ISPC,2023-09-06,0,0,0,1,-4.28645695810611,-11.0299831493254,-42.26738906523215
Jumia,JMIA,2022-11-21,0,0,0,0,-8.822270729861211,-14.976179119451249,-5.61395736422478
Just Eat Takeaway,JTKWY,2022-07-20,0,0,0,0,4.05250387695726,11.29242954872961,28.956105184262558
Kyndryl,KD,2023-03-30,0,0,0,1,-0.004243411147026102,-0.21148059371816,7.734771412437929
Kaltura,KLTR,2022-08-09,0,0,0,0,-3.60080054257573,-0.11804189801480999,12.555793666415859
Kaltura,KLTR,2025-08-07,0,0,1,1,2.56913563483946,-29.6555109756047,-28.658336272136182
CS Disco,LAW,2023-01-19,0,0,0,1,5.02776841990338,13.753001051493191,3.49730174907837
Luminar,LAZRQ,2024-05-03,0,0,0,1,7.40200985363819,15.22794919823379,18.53263192784155
Luminar,LAZRQ,2025-05-20,0,0,0,1,-11.222472142978459,-37.89644455709516,-34.80487906519695
Lemonade,LMND,2022-04-20,0,0,0,0,-3.8341486641750704,26.84772945975571,23.079402091773222
Lemonade,LMND,2023-05-16,0,0,0,1,0.19469873351903,16.04846817419702,-6.691657459508931
Logitech,LOGI,2023-03-22,0,0,0,1,0.53372815881429,4.43297264718754,16.35628326920545
LivePerson,LPSN,2020-11-01,0,0,1,0,-4.7149372656946404,-14.01936741019562,-16.99438887546357
LivePerson,LPSN,2022-09-15,0,0,0,0,-1.73401215090057,0.07568617136278,21.95816588202283
Lam Research,LRCX,2023-01-25,0,0,0,1,0.18786574192687,-1.82138122772574,6.11417060355907
