company_fyi,ticker,announcement_date,ai_causal,ai_primary,ai_broad,post_chatgpt,CAR_1_1,CAR_0_20,CAR_5_30,beta_mkt_ff4,listing_region,layoff_count,layoff_pct,industry,event_sequence,is_first_event
Viant,DSP,2022-12-13,0,0,0,1,1.05922188870765,20.43394073698449,24.75990198159516,0.8452886851944128,US,46.0,13%,Marketing,1,1
Electronic Arts,EA,2023-02-28,0,0,0,1,1.50672074285014,8.434520817309279,14.02315589663146,0.53851623384395,US,200.0,,Consumer,1,1
Eventbrite,EB,2020-04-08,0,0,0,0,16.88540231385291,34.37805799944939,15.41279165785387,0.950947980522157,US,500.0,45%,Consumer,1,1
eBay,EBAY,2023-02-07,0,0,0,1,-2.70875746363866,-5.56294958935386,-7.86247210415355,0.8986953324390407,US,500.0,4%,Retail,1,1
Editas Medicine,EDIT,2023-01-09,0,0,0,1,-17.243177319778567,-13.92592403195723,-18.42857955197183,1.1208932181292148,US,,20%,Healthcare,1,1
8x8,EGHT,2022-10-04,0,0,0,0,-2.94919460348682,28.74460819090442,26.59054285750096,1.1591684465587,US,200.0,9%,Support,1,1
Enphase Energy,ENPH,2023-12-18,0,0,0,1,11.5508374864366,-2.16921653726649,12.83737843688782,1.477039874400782,US,350.0,10%,Energy,1,1
Enovix,ENVX,2023-10-05,0,0,0,1,-3.73930747170437,13.22639176516755,2.94687696234271,1.459271867679273,US,185.0,,Energy,1,1
Ericsson,ERIC,2023-02-24,0,0,0,1,0.93977490073072,7.3624422645304595,17.01432647995551,0.9484693008511133,US,8500.0,8%,Other,1,1
Elastic,ESTC,2022-11-30,0,0,0,1,-8.510240680151341,-7.3065133065567,-17.29627659829718,1.2838988219289682,US,,13%,Data,1,1
Etsy,ETSY,2023-12-13,0,0,0,1,-7.1177418503469605,-18.77510778940447,-13.81498888446753,1.2437125040422845,US,225.0,11%,Retail,1,1
Everquote,EVER,2023-07-11,0,0,0,1,6.95172078172612,-27.15560267417883,-3.9474910716240097,0.87349462902062,US,100.0,,Finance,1,1
EVgo,EVGO,2023-02-23,0,0,0,1,-3.53808726656206,7.29511326802717,32.44962701420535,1.03693331934821,US,40.0,,Transportation,1,1
Expedia,EXPE,2023-03-21,0,0,0,1,0.74153101278415,-0.47446073302974,1.34774062892539,1.0439452004499308,US,,,Travel,1,1
F5,FFIV,2022-10-21,0,0,0,0,1.9659873310294704,-1.18886504045189,0.53597803262,0.9799578817442368,US,100.0,1%,Security,1,1
Five9,FIVN,2024-08-20,0,1,1,1,2.00981504493418,-16.276033264429792,-10.3897805856289,0.818653817317597,US,190.0,7%,Support,1,1
Freshworks,FRSH,2022-12-15,0,0,0,1,6.17598286524062,4.84756472106396,-1.49843421106542,1.3218675874732049,US,90.0,2%,Support,1,1
Fastly,FSLY,2024-08-08,0,0,0,1,-20.55144204672009,-16.407446716789508,0.1777833409363,1.8981227167223784,US,,11%,Infrastructure,1,1
Fortinet,FTNT,2023-08-25,0,0,0,1,-0.5604100011294,-0.58762081213973,-0.53199308001627,1.2166895687751342,US,,,Security,1,1
FuboTV,FUBO,2022-08-02,0,0,0,0,4.72743452449288,61.17672871944352,79.2575052089662,1.871895085228716,US,,,Media,1,1
Fiverr,FVRR,2022-07-26,0,0,0,0,-3.38135198450068,-3.17549071838739,11.03455701319411,1.514076276505875,US,60.0,8%,Other,1,1
GoDaddy,GDDY,2020-06-24,0,0,0,0,-8.793837029507461,-22.29307892246236,-13.10344600991812,0.9901433632389568,US,451.0,6%,Marketing,1,1
GoodRx,GDRX,2022-08-31,0,0,0,0,-0.51439968534811,5.34171156054694,20.56770635378335,1.5895976275919097,US,140.0,16%,Healthcare,1,1
Guardant Health,GH,2023-01-25,0,0,0,1,-6.4670073875551095,-25.689836313450854,-13.387035012379,1.0297985219881576,US,130.0,7%,Healthcare,1,1
GoHealth,GOCO,2022-08-09,0,0,0,0,17.39996498904389,-1.05848561404328,18.22766522032521,1.6503854988077833,US,800.0,20%,Healthcare,1,1
Google,GOOG,2023-01-20,0,0,1,1,6.33708325535233,-4.2636675985454895,1.7649847614311098,1.1006121189808225,US,12000.0,6%,Consumer,1,1
GoPro,GPRO,2020-04-15,0,0,0,0,-4.3485096909113,12.16792114841051,30.16151959146421,1.0866545211915932,US,200.0,20%,Consumer,1,1
Grab,GRAB,2023-06-20,0,0,0,1,0.1027113865808199,-3.995968833541861,-2.88357928529522,0.7349812194096615,US,1000.0,11%,Transportation,1,1
Groupon,GRPN,2020-04-13,0,0,0,0,-10.03745820442353,19.22236916518238,17.373639415347743,1.2732102369841107,US,2800.0,44%,Retail,1,1
GitLab,GTLB,2023-02-09,0,0,0,1,-10.83908295321752,5.47372601975223,-40.21127596215992,1.5674061145254263,US,130.0,7%,Product,1,1
ZoomInfo,GTM,2023-06-02,0,0,0,1,5.126842861859051,-0.29572836888,12.563303288118547,0.9645861776240032,US,120.0,3%,Sales,1,1
Guidewire,GWRE,2022-08-11,0,0,0,0,-0.90664576174637,-9.18651077716564,-8.196118736759669,0.8859628999897784,US,,2%,Finance,1,1
Hims & Hers,HIMS,2025-05-30,0,0,0,1,3.26923645493259,-22.31023824875188,-47.95788276877821,1.651445377643464,US,68.0,4%,Healthcare,1,1
Robinhood,HOOD,2023-06-26,0,0,0,1,4.98829983132155,18.4680435852773,7.380373374736469,0.8626039292532299,US,150.0,7%,Finance,1,1
Hewlett Packard Enterprise,HPE,2025-03-06,0,0,1,1,-14.171070312932098,-22.01551977011065,-15.14686462566352,1.177783125615289,US,2500.0,5%,Hardware,1,1
HP,HPQ,2023-02-19,0,0,0,1,-0.53792781051894,4.2192586673896795,6.3341918559103,1.266055074466749,US,100.0,,Hardware,1,1
HubSpot,HUBS,2023-01-31,0,0,0,1,-2.69079806916986,9.07699144685579,9.14826263761433,1.2305121138923174,US,500.0,7%,Marketing,1,1
IAC,IAC,2024-01-10,0,0,0,1,-2.38459036537562,-1.5646236279532402,6.19398545353636,1.2487737553174632,US,330.0,,Consumer,1,1
IBM,IBM,2023-01-25,0,0,0,1,-6.73029427003876,-7.683349802470819,-12.80934063890684,0.6788256216054323,US,3900.0,2%,Hardware,1,1
Illumina,ILMN,2022-11-14,0,0,0,0,-3.613289998661099,-12.14461783661321,-11.64265653366435,1.0226777560398972,US,500.0,5%,Healthcare,1,1
Intel,INTC,2022-12-06,0,0,1,1,1.10310618264494,1.72186417809994,4.40007091178565,1.1090334882408983,US,201.0,,Hardware,1,1
Intuit,INTU,2020-06-22,0,0,0,0,0.6025511294366199,-4.5383838198237,-5.28067556270418,1.036291929752514,US,715.0,7%,Finance,1,1
Innoviz,INVZ,2024-01-31,0,0,1,1,1.9599597765620096,4.45313473029908,-21.07964141564247,1.8559389172360907,US,60.0,13%,Transportation,1,1
Century Therapeutics,IPSC,2023-01-09,0,0,0,1,-7.85644397143989,-13.67746861895612,-10.22282006286873,0.7798114979402124,US,,,Healthcare,1,1
iSpecimen,ISPC,2023-09-06,0,0,0,1,-4.28645695810611,-11.0299831493254,-42.26738906523215,0.4135625275050414,US,,20%,Healthcare,1,1
Jumia,JMIA,2022-11-21,0,0,0,0,-8.822270729861211,-14.976179119451247,-5.61395736422478,1.7189664749394915,US,900.0,20%,Retail,1,1
