event_id,ticker,company_x,event_dt,CAR_CAPM_short_term,CAR_FF4_short_term,percentage_laid_off,funds_raised,ai_mentioned,company_y,prior_6m_return,n_pre,layoff_pct,funds_raised_num,log_funds_raised,year
LC_2023-10-12,LC,Lending Club,2023-10-12,0.0832569430068592,0.0998110393485471,0.14,392.0,0,Lending Club,-0.232310492123745,126,0.14,392.0,5.971261839790462,2023
LMND_2023-05-16,LMND,Lemonade,2023-05-16,0.0458071289145254,0.0202525064254089,0.03,481.0,1,Lemonade,-0.3725605521482601,126,0.03,481.0,6.175867270105761,2023
LSPD_2023-01-17,LSPD,Lightspeed Commerce,2023-01-17,0.1358612115086962,0.1029967773217244,0.1,1200.0,1,Lightspeed Commerce,-0.2592168086913157,126,0.1,1200.0,7.090076835776092,2023
LTCH_2022-05-10,LTCH,Latch,2022-05-10,-0.0476093314273016,-0.0597181558076669,0.06,342.0,1,Latch,-0.7495901111385703,126,0.06,342.0,5.834810737062605,2022
LTCH_2023-07-10,LTCH,Latch,2023-07-10,-0.0476093314273016,-0.0597181558076669,0.59,342.0,1,Latch,0.14964750393305093,126,0.59,342.0,5.834810737062605,2023
LYFT_2022-07-20,LYFT,Lyft,2022-07-20,0.1206368131438681,0.0695983464369796,0.02,4900.0,0,Lyft,-0.735013708074326,126,0.02,4900.0,8.496990484098719,2022
LYFT_2023-04-21,LYFT,Lyft,2023-04-21,0.1206368131438681,0.0695983464369796,0.26,4900.0,1,Lyft,-0.43960922782659184,126,0.26,4900.0,8.496990484098719,2023
LYFT_2024-09-04,LYFT,Lyft,2024-09-04,0.1206368131438681,0.0695983464369796,0.01,4900.0,1,Lyft,-0.38670065383395147,126,0.01,4900.0,8.496990484098719,2024
LZ_2024-08-07,LZ,LegalZoom,2024-08-07,0.0718010987134147,0.0755556889982338,0.15,952.0,1,LegalZoom,-0.4978501495947988,126,0.15,952.0,6.858565034791365,2024
L_2022-10-18,L,Leafly,2022-10-18,0.0342309331936339,0.0355618749603413,0.21,71.0,0,Leafly,-0.19343028426111875,126,0.21,71.0,4.2626798770413155,2022
L_2023-01-17,L,LiveVox,2023-01-17,0.0342309331936339,0.0355618749603413,0.16,12.0,0,LiveVox,0.054665435338422164,126,0.16,12.0,2.4849066497880004,2023
L_2023-03-21,L,Laybuy,2023-03-21,0.0342309331936339,0.0355618749603413,0.1,130.0,0,Laybuy,0.011219894947242848,126,0.1,130.0,4.867534450455582,2023
