ticker,announcement_date,prior_6m_return
SFIX,2023-07-12,0.26279862231495654
SHOP,2020-08-14,1.1993793677576043
SHOP,2022-07-06,-0.7611766072999714
SHOP,2023-05-04,0.7669307936830831
SHOP,2025-11-26,0.4760401373602776
SINCH.ST,2022-10-12,-0.7935022009080909
SIRI,2023-03-06,-0.2868840584058473
SIRI,2024-02-12,0.12185026185285164
SKLZ,2022-05-20,-0.8330658146726968
SMR,2024-01-08,-0.574935392875632
SMWB,2022-11-16,-0.5035856633952209
SNAP,2022-08-31,-0.6817264008927266
SNAP,2023-09-27,-0.06353857747955882
SNPS,2023-01-27,0.1032104729051424
SNPS,2025-11-12,-0.008550909424112407
SOFI,2023-01-30,-0.09306255974583755
SOFI,2024-01-10,0.1841463736591482
SONDQ,2023-03-01,-0.4491525512767618
SONDQ,2024-02-15,-0.776724152672729
SONDQ,2025-04-14,-0.565130225285021
SONO,2020-06-24,-0.02932333366388995
SONO,2023-06-14,-0.12386365101849417
SONO,2024-08-14,-0.1896134958280763
SPOT,2022-10-06,-0.3531565837116356
SPOT,2023-12-04,0.1571164755943495
SPOT,2024-07-15,0.6609437369535318
SPT,2024-11-25,-0.053172635543457414
SRAD,2023-11-02,-0.22322971115527024
STEM,2025-04-29,-0.22100660633337554
STNE,2020-05-12,-0.29692122977352053
STORY-B.ST,2022-03-17,-0.5422983027461985
STORY-B.ST,2024-01-24,0.20237356683026753
STX,2022-10-26,-0.3719566638372135
SWVL,2022-05-30,-0.4143145161290318
SYBX,2022-12-01,-0.3543103504029702
TASK,2023-02-22,-0.18752730571255272
TBLA,2022-09-13,-0.5999999928295152
TDC,2024-08-06,-0.3427083492279035
TDOC,2023-01-18,-0.32098770096980456
TDUP,2022-08-15,-0.7215346508359866
TEAM,2023-03-06,-0.38556252141791336
TEAM,2025-07-30,-0.22566936377729796
TENB,2024-02-07,0.09852331432234274
TOM2.AS,2022-06-01,0.005518096599321565
TOM2.AS,2023-12-12,-0.1484593785155457
TOM2.AS,2025-06-30,0.01087940965224199
TOST,2024-02-15,-0.1844883106406403
TREE,2022-11-03,-0.7984220884963096
TRIP,2020-04-28,-0.4616735216690019
TRIP,2023-08-02,-0.15925056476725707
TRIP,2025-02-04,-0.09791782365193558
TRIP,2025-11-05,0.37510512273884666
TRLFF,2020-03-30,-0.6964247512137265
TSLA,2022-06-03,-0.3270220713332358
TSLA,2024-04-15,-0.2690644769807352
TTD,2025-12-17,-0.4630376351666655
TTGT,2022-12-08,-0.32418576747487104
TTWO,2023-03-07,-0.13765615786337748
TTWO,2024-04-16,0.0699001659420575
TWLO,2022-09-14,-0.5931350028322153
TWLO,2023-12-04,0.2584338464339111
TWST,2023-05-05,-0.5811647779108678
TXG,2022-08-04,-0.6261732591086844
U,2022-06-29,-0.7537104884672342
U,2023-01-17,-0.22650733899273034
U,2025-02-11,0.34425213781006736
UBER,2022-09-07,-0.19261823086485774
UBER,2023-06-21,0.42625257414666784
UDMY,2023-02-14,0.03012557456883691
UDMY,2024-09-11,-0.24399255675684217
UPST,2022-11-01,-0.7167156231923127
UPWK,2023-05-03,-0.15072938309173722
UPWK,2024-10-23,-0.14049592639210517
VGL.NZ,2023-07-05,0.10457522145269049
VRAYQ,2023-04-03,-0.050802154207476136
VRNS,2022-11-06,-0.40143692637154715
