ticker,funds_raised,log_funds_raised
RPD,89.0,4.499809670330265
RBL,55.0,4.02535169073515
RDDT,1300.0,7.170888478512505
RDFN,319.0,5.768320995793772
REE,317.0,5.762051382780177
RENT,526.0,6.267200548541362
RGTI,298.0,5.700443573390687
RNG,44.0,3.8066624897703196
RSKD,229.0,5.438079308923196
RIVN,10700.0,9.278092474027002
HOOD,5600.0,8.630700432209832
RBLX,857.0,6.754604099487962
RKT,5200.0,8.556606193773073
ROKU,208.0,5.342334251964811
RI,527.0,6.269096283706261
RT,382.0,5.948034989180646
RUBY,445.0,6.100318952020064
SABR,1700.0,7.438971592395862
SAGE,438.0,6.0844994130751715
SKS,965.0,6.873163834212518
CRM,65.0,4.189654742026425
005930.KS,,
SAP,1300.0,7.170888478512505
PDYN,316.0,5.75890177387728
SATL,424.0,6.052089168924417
SE,8600.0,9.059633754551479
STX,,
SCWX,83.0,4.430816798843313
SLNAF,612.0,6.418364935936212
WGS,791.0,6.674561391814426
0020.HK,2600.0,7.8636512654486515
S,696.0,6.546785410760524
SEZL,301.0,5.71042701737487
FOUR,504.0,6.22455842927536
SHOP,122.0,4.812184355372417
SFLY,50.0,3.9318256327243257
SHL.DE,,
SMWB,235.0,5.4638318050256105
SINCH.ST,1500.0,7.313886831633462
OMIC,176.0,5.176149732573829
SIRI,525.0,6.26530121273771
SKLZ,287.0,5.662960480135946
SMAR,152.0,5.030437921392435
SDCCQ,694.0,6.543911845564792
SNAP,4900.0,8.497194544909547
SNOW,2900.0,7.972810784121404
SOFI,3000.0,8.006700845440367
PSAN.DU,344.0,5.84354441703136
SEDG,155.0,5.049856007249537
SONDQ,839.0,6.733401891837359
SM,126.0,4.844187086458591
SONO,455.2,6.122931309850288
SOUN,326.0,5.7899601708972535
SPLK,2400.0,7.783640596221253
SRAD,84.0,4.442651256490317
SPOT,2100.0,7.650168700845001
SBIG,32.0,3.4965075614664802
CXM,429.0,6.063785208687608
SPT,111.0,4.718498871295094
SB,229.0,5.438079308923196
SBUX,,
SSEA,260.0,5.564520407322694
STEM,583.0,6.369900982828227
SFIX,79.0,4.382026634673881
STNE,521.0,6.257667587882639
STORY-B.ST,275.0,5.62040086571715
