company_fyi,ticker,confidence,status,period,announcement_date,edgar_8k_date,layoff_count,layoff_pct,industry,country,source_url,match_src,ticker_edgar,ticker_yfinance,yf_name,cik,ai_mentioned,ai_evidence,listing_region,benchmark_index,event_study_usable,exclusion_reason
Informatica,,NONE,DELISTED,post_genai,2023-01-10,,450.0,7%,Data,United States,https://www.channelfutures.com/business-models/informatica-layoffs-to-slash-7-of-workforce-cfo-stepping-down,yfinance_only,,,,,0,,UNKNOWN,^GSPC,False,
Qualtrics,,NONE,DELISTED,post_genai,2023-01-11,2023-01-11,270.0,5%,Other,United States,https://www.marketwatch.com/story/qualtrics-to-shave-about-270-jobs-or-less-than-5-of-workforce-2023-01-11,EDGAR_exact,,,,1747748.0,0,,UNKNOWN,^GSPC,False,
HashiCorp,,NONE,DELISTED,post_genai,2023-01-11,,69.0,,Security,United States,https://www.linkedin.com/news/story/former-citrix-employees-react-to-cuts-6133826/,yfinance_only,,,,,0,,UNKNOWN,^GSPC,False,
Lending Club,,NONE,DELISTED,post_genai,2023-01-12,,225.0,14%,Finance,United States,https://www.bloomberg.com/news/articles/2023-01-12/lendingclub-to-cut-14-of-workers-take-charges-of-5-7-million,yfinance_only,,,,,0,,UNKNOWN,^GSPC,False,
Akili Labs,,NONE,DELISTED,post_genai,2023-01-12,,46.0,30%,Healthcare,United States,https://bhbusiness.com/2023/01/12/digital-therapeutics-startup-akili-plans-to-lay-off-30-of-staff/,yfinance_only,,,,,0,,UNKNOWN,^GSPC,False,
PagBank,,NONE,DELISTED,post_genai,2023-01-16,,500.0,7%,Finance,Brazil,"https://www.terra.com.br/amp/economia/dinheiro-em-dia/meu-negocio/pagbank-faz-sua-onda-de-layoffs-e-demite-7-do-quadro,718b40b34ae12981e16f3f1a17a25359dzxawknq.html",yfinance_only,,,,,0,,UNKNOWN,^GSPC,False,
Avaya,,NONE,DELISTED,post_genai,2023-01-17,2023-01-13,,,Other,United States,https://www.bizjournals.com/triad/news/2023/01/17/more-avaya-layoffs-as-bankruptcy-speculation-grows.html,EDGAR_exact,,,,1418100.0,0,,UNKNOWN,^GSPC,False,
LiveVox,,NONE,DELISTED,post_genai,2023-01-17,,,16%,Support,United States,https://www.marketscreener.com/quote/stock/LIVEVOX-HOLDINGS-INC-124007856/news/LiveVox-Costs-Associated-with-Exit-Disposal-Form-8-K-42747855/,yfinance_only,,,,,1,"[WEAK] ...our incumbent competitors' traditional businesses: 1) Omnichannel, 2) AI-driven Automation, 3) Work from anywhere, and 4) Consumption-based pricing.  What's more, on-prem...",UNKNOWN,^GSPC,False,
Inspirato,,NONE,DELISTED,post_genai,2023-01-18,2023-01-19,109.0,12%,Travel,United States,https://sports.yahoo.com/inspirato-announces-plan-streamline-operations-233000003.html,EDGAR_exact,,,,1820566.0,0,,UNKNOWN,^GSPC,False,
Bally's Interactive,,NONE,DELISTED,post_genai,2023-01-18,,,15%,Consumer,United States,https://www.legalsportsreport.com/98714/filing-ballys-cutting-up-to-15-of-interactive-employees/,yfinance_only,,,,,0,,UNKNOWN,^GSPC,False,
